n,m,K,a,s_list,sizes,order,lambda_star,lambda_star_sq,A_float,B_float,A_fraction,B_fraction
6,10,2,5 6 7 9 9 9,0 2,8 5,5,-0.6 0.6 -0.2 0.2 0.2 -0.2,0.36 0.36 0.04 0.04 0.04 0.04,1 0.88 1.72 4 7.32 11.12 5.96,1 0.88 7.32 21.28 37.4 41.84 18.28,1 22/25 43/25 4 183/25 278/25 149/25,1 22/25 183/25 15280070164119/718048409968 37399999999925/999999999998 5539469908569/132396508331 18279999999872/999999999993
6,10,2,5 6 8 8 8 9,0 3,6 7,10,0 0 0.6 0.2 0.2 0,0 0 0.36 0.04 0.04 0,1 0.44 1.88 3.92 6.2 11.64 6.92,1 0.44 7.12 18.8 34.12 44.76 21.76,1 11/25 47/25 98/25 31/5 11639999999837/999999999986 173/25,1 11/25 178/25 94/5 18540398079488/543387985917 41352800736243/923878479362 14794433558743/679891248104
6,10,2,5 6 8 8 8 9,0 7,6 6,10,2.77555756156e-17 2.77555756156e-17 0.4 -0.2 -0.2 -2.77555756156e-17,7.70371977755e-34 7.70371977755e-34 0.16 0.04 0.04 7.70371977755e-34,1 0.24 2.28 3.04 7.8 8.88 8.76,1 0.24 7.8 15.52 37.08 40.56 25.8,1 6/25 57/25 76/25 39/5 222/25 219/25,1 6/25 39/5 388/25 37079999999555/999999999988 34806783705489/858155416802 129/5
6,10,2,5 6 8 8 9 9,0 3,6 7,10,-0.4 0.4 0.2 0.2 0 0.6,0.16 0.16 0.04 0.04 0 0.36,1 0.76 1.4 3.76 7.96 11.48 5.64,1 0.76 6.32 21.04 37.96 42.2 18.72,1 19/25 7/5 94/25 199/25 287/25 141/25,1 19/25 158/25 21039999999495/999999999976 21629129789372/569787402249 42199999999831/999999999996 468/25
6,10,2,5 6 8 8 9 9,0 7,6 7,10,-0.2 -0.2 -0.2 -0.2 0.2 -0.6,0.04 0.04 0.04 0.04 0.04 0.36,1 0.56 1.48 3.84 7.32 11.6 6.2,1 0.56 6.36 19.68 36.44 43.76 20.2,1 14/25 37/25 96/25 183/25 58/5 31/5,1 14/25 159/25 18342475303607/932036346728 19877806494979/545494140916 34729356149275/793632453137 101/5
6,10,2,5 6 8 9 9 9,0 3,5 8,10,-0.4 0.4 0.2 0.2 -0.2 2.77555756156e-17,0.16 0.16 0.04 0.04 0.04 7.70371977755e-34,1 0.44 1.92 3.04 8.92 8.68 8,1 0.44 7.28 16.72 39.72 39.16 23.68,1 11/25 48/25 76/25 223/25 217/25 8,1 11/25 182/25 16719999999699/999999999982 31761892258463/799644820203 9388892749650/239757220369 23679999999479/999999999978
6,10,2,5 7 7 7 8 8,0 1,10 2,10,-0.2 0.2 0.2 0.2 -0.2 -0.2,0.04 0.04 0.04 0.04 0.04 0.04,1 0.24 3.56 2.08 8.12 6 11,1 0.24 10.36 13.6 37.72 34.8 30.28,1 6/25 89/25 52/25 203/25 6 11,1 6/25 259/25 68/5 14996096217015/397563526432 34799999999965/999999999999 18250668725286/602730142843
6,10,2,5 7 7 7 8 8,0 6,10 2,5,0.2 0.2 0.2 0.2 -0.2 -0.2,0.04 0.04 0.04 0.04 0.04 0.04,1 0.24 3.56 2.08 8.12 6 11,1 0.24 10.36 13.6 37.72 34.8 30.28,1 6/25 89/25 52/25 203/25 6 11,1 6/25 259/25 68/5 10035194822015/266044401432 27670421439319/795127052854 29491565033866/973961857129
6,10,2,5 7 7 7 8 9,0 4,5 8,5,-0.2 -0.6 -0.2 0.2 -0.2 0.2,0.04 0.36 0.04 0.04 0.04 0.04,1 0.56 2.04 4 6.04 11.44 6.92,1 0.56 7.64 19.36 34.2 44.08 21.16,1 14/25 51/25 4 151/25 286/25 173/25,1 14/25 191/25 484/25 34199999999863/999999999996 11749447891516/266548273401 14047194592367/663856077144
6,10,2,5 7 7 7 9 9,0 2,6 6,5,0.2 0.2 0.2 -0.6 -0.2 -0.2,0.04 0.04 0.04 0.36 0.04 0.04,1 0.56 2.2 3.36 7.64 9.52 7.72,1 0.56 7.96 18.08 37.4 40.24 22.76,1 14/25 11/5 84/25 191/25 238/25 193/25,1 14/25 199/25 452/25 37399999999925/999999999998 14283169057704/354949529267 14593099020374/641173067679
6,10,2,5 7 7 8 9 9,0 4,6 7,5,-0.2 0.2 0.6 0.6 0.2 0.2,0.04 0.04 0.36 0.36 0.04 0.04,1 0.88 1.72 4 7.32 11.12 5.96,1 0.88 7.32 21.28 37.4 41.84 18.28,1 22/25 43/25 4 183/25 278/25 149/25,1 22/25 183/25 532/25 32693056301259/874145890408 30573502143233/730724238605 457/25
6,10,2,5 7 7 8 9 9,0 6,6 7,5,0.2 -0.2 -0.2 -0.2 -0.2 -0.2,0.04 0.04 0.04 0.04 0.04 0.04,1 0.24 1.96 3.52 6.04 12.24 7,1 0.24 6.68 18.4 32.6 45.36 23.72,1 6/25 49/25 88/25 151/25 306/25 7,1 6/25 167/25 92/5 32599999999902/999999999997 10622050701832/234172193603 7156041208547/301688077932
6,10,2,5 7 7 9 9 9,0 2,7 6,5,-0.6 -0.2 0.6 -0.2 0.2 -0.2,0.36 0.04 0.36 0.04 0.04 0.04,1 0.88 1.72 4 7.32 11.12 5.96,1 0.88 7.32 21.28 37.4 41.84 18.28,1 22/25 43/25 4 183/25 278/25 149/25,1 22/25 183/25 17513998550907/823026247693 37330369251771/998138215288 17018660441635/406755746693 18279999999872/999999999993
6,10,2,5 7 7 9 9 9,0 4,7 6,5,-0.2 0.6 0.2 -0.2 0.2 0.6,0.04 0.36 0.04 0.04 0.04 0.36,1 0.88 1.72 4 7.32 11.12 5.96,1 0.88 7.32 21.28 37.4 41.84 18.28,1 22/25 43/25 4 183/25 278/25 149/25,1 22/25 183/25 21279999999851/999999999993 36051931948518/963955399693 36214369697447/865544208830 457/25
6,10,2,5 7 8 8 9 9,0 4,6 7,5,-0.2 0.2 0.6 0.6 -0.2 0.2,0.04 0.04 0.36 0.36 0.04 0.04,1 0.88 1.72 3.84 7.48 11.28 5.8,1 0.88 7.16 21.6 37.4 41.52 18.44,1 22/25 43/25 96/25 187/25 282/25 29/5,1 22/25 179/25 108/5 30781181663718/823026247693 30308197699783/729966225910 461/25
6,10,2,5 7 8 9 9 9,0 4,6 7,5,-0.2 0.2 0.2 0.2 0.6 0.2,0.04 0.04 0.04 0.04 0.36 0.04,1 0.56 1.8 3.84 6.68 11.6 6.52,1 0.56 7 19.68 35.16 43.76 20.84,1 14/25 9/5 96/25 167/25 58/5 163/25,1 14/25 7 19679999999567/999999999978 10710671191622/304626598169 7875540269021/179971212729 14628275597735/701932610256
6,10,2,5 8 8 8 9 9,0 3,7 6,10,-0.4 0.2 0.4 -0.4 0.4 0.2,0.16 0.04 0.16 0.16 0.16 0.04,1 0.72 1.4 4 7.64 11.28 5.96,1 0.72 6.52 20.32 37.72 42.96 18.76,1 18/25 7/5 4 191/25 11279999999921/999999999993 149/25,1 18/25 163/25 20319999999939/999999999997 8439774341488/223747994207 40422710122721/940938317568 18759999999606/999999999979
6,10,2,5 8 8 9 9 9,0 3,6 6,10,-0.4 0.2 0.4 -0.4 -0.4 -0.4,0.16 0.04 0.16 0.16 0.16 0.16,1 0.84 2.52 3.52 6.12 11.64 6.36,1 0.84 8.4 22 33.96 41.16 20.64,1 21/25 63/25 88/25 153/25 291/25 159/25,1 21/25 42/5 22 8737559606024/257289741049 36375227759513/883751889201 20639999999711/999999999986
6,10,2,6 6 6 8 9 9,0 7,7 4,10,-0.2 -0.2 -0.2 0.2 -5.55111512313e-17 5.55111512313e-17,0.04 0.04 0.04 0.04 3.08148791102e-33 3.08148791102e-33,1 0.16 3.6 2.4 6.92 7.04 10.88,1 0.16 10.36 13.76 35.16 37.28 30.28,1 4/25 18/5 12/5 173/25 176/25 272/25,1 4/25 259/25 344/25 879/25 14142031174683/379346329793 30279999999788/999999999993
6,10,2,6 6 7 7 8 8,0 1,6 8,10,0.2 -0.2 6.93889390391e-17 -4.16333634234e-17 5.55111512313e-17 -5.55111512313e-17,0.04 0.04 4.81482486097e-33 1.73333694995e-33 3.08148791102e-33 3.08148791102e-33,1 0.08 3.16 2.4 7.64 7.12 10.6,1 0.08 9.4 13.28 36.44 37.84 29.96,1 2/25 79/25 12/5 191/25 178/25 53/5,1 2/25 47/5 13279999999907/999999999993 33301779711835/913879794507 9459159075285/249977776831 21403528686202/714403494199
6,10,2,6 6 7 7 9 9,0 2,4 10,5,-0.2 -0.2 0.2 0.2 0.2 0.2,0.04 0.04 0.04 0.04 0.04 0.04,1 0.24 2.6 2.72 8.12 7.92 9.4,1 0.24 8.44 14.88 37.72 38.64 27.08,1 6/25 13/5 68/25 203/25 198/25 47/5,1 6/25 211/25 14879999999747/999999999983 24351458994386/645584808971 30278934020563/783616304880 19695975114448/727325521213
6,10,2,6 7 7 7 8 8,0 1,7 7,10,-0.2 -0.4 -0.4 0.2 0.4 0.4,0.04 0.16 0.16 0.04 0.16 0.16,1 0.72 2.18 3.64 6.44 11.64 6.38,1 0.72 7.72 21.04 34.6 42.24 20.68,1 18/25 109/50 91/25 161/25 11639999999837/999999999986 319/50,1 18/25 193/25 21039999999495/999999999976 173/5 42239999999113/999999999979 20679999999545/999999999978
6,10,2,6 7 7 8 8 8,0 1,6 8,10,-0.2 1.11022302463e-16 0 -0.4 0.2 -0.4,0.04 1.23259516441e-32 0 0.16 0.04 0.16,1 0.4 2.04 3.68 6.04 11.92 6.92,1 0.4 7.16 19.04 33.24 44.56 22.6,1 2/5 51/25 92/25 151/25 11919999999845/999999999987 173/25,1 2/5 179/25 13200205804343/693288119976 21459239050196/645584808971 19783162400827/443966840234 113/5
6,10,2,6 7 7 9 9 9,0 2,4 9,5,-0.6 -0.2 -0.2 0.2 0.2 0.2,0.36 0.04 0.04 0.04 0.04 0.04,1 0.56 1.4 4 7.32 11.44 6.28,1 0.56 6.36 19.36 36.76 44.08 19.88,1 14/25 7/5 4 183/25 11439999999897/999999999991 157/25,1 14/25 159/25 16563390726615/855547041664 5865657677974/159566313329 39716443576909/901008248115 16854585954771/847816194908
6,10,2,6 8 8 8 9 9,0 3,5 8,10,-0.4 -0.4 -0.2 0.4 -5.55111512313e-17 0,0.16 0.16 0.04 0.16 3.08148791102e-33 0,1 0.52 1.84 4 6.36 11.48 6.8,1 0.52 7.2 19.12 34.76 44.36 21.04,1 13/25 46/25 4 159/25 287/25 34/5,1 13/25 36/5 19119999999847/999999999992 28692287948231/825439814391 11309990912210/254959218039 526/25
6,11,2,1 1 1 1 4 4,0 8,5 3,11,-0.0909090909091 -0.0909090909091 -0.0909090909091 -0.0909090909091 -0.454545454545 -0.454545454545,0.00826446280992 0.00826446280992 0.00826446280992 0.00826446280992 0.206611570248 0.206611570248,1 0.446280991736 3.2479338843 3.40495867769 3.99173553719 12.1487603306 7.76033057851,1 0.446280991736 9.34710743802 19.867768595 28.6859504132 43.6859504132 24.9669421488,1 54/121 393/121 412/121 3991735536743/999999999888 11935678991132/982460651651 7760330577845/999999999914,1 54/121 1131/121 16193860142714/815081978897 12775913330145/445371798602 38641241927265/884523320696 20593610138605/824835096581
6,11,2,1 1 1 2 2 4,0 5,2 8,11,0.0909090909091 0.0909090909091 0.0909090909091 0.0909090909091 0.0909090909091 0.0909090909091,0.00826446280992 0.00826446280992 0.00826446280992 0.00826446280992 0.00826446280992 0.00826446280992,1 0.0495867768595 3.99173553719 2.01652892562 7.06611570248 6 11.8760330579,1 0.0495867768595 11.0330578512 12.3305785124 35.2314049587 35.7520661157 32.6033057851,1 6/121 483/121 244/121 7066115701801/999999999904 6 7000641106802/589476391039,1 6/121 11033057850346/999999999919 12330578511065/999999999892 2728882468288/77455964969 29950333266730/837723145001 30029498484865/921056861006
6,11,2,1 1 1 2 2 4,0 6,2 8,11,-0.0909090909091 -0.0909090909091 -0.0909090909091 -0.0909090909091 -0.0909090909091 -0.0909090909091,0.00826446280992 0.00826446280992 0.00826446280992 0.00826446280992 0.00826446280992 0.00826446280992,1 0.0495867768595 3.99173553719 2.01652892562 7.06611570248 6 11.8760330579,1 0.0495867768595 11.0330578512 12.3305785124 35.2314049587 35.7520661157 32.6033057851,1 6/121 483/121 244/121 7066115701801/999999999904 6 8016321650690/674999944143,1 6/121 11033057850346/999999999919 10662824269557/864746472263 17050823401184/483966603693 27395586146367/766265816854 21408276990207/656629028090
6,11,2,1 1 1 2 2 5,0 7,4 6,11,0.272727272727 0.0909090909091 0.0909090909091 -0.272727272727 -0.272727272727 -0.272727272727,0.0743801652893 0.00826446280992 0.00826446280992 0.0743801652893 0.0743801652893 0.0743801652893,1 0.314049586777 2.9173553719 3.47107438017 4.32231404959 12.2148760331 7.76033057851,1 0.314049586777 8.61983471074 18.9421487603 29.2148760331 44.7438016529 25.1652892562,1 38/121 353/121 420/121 523/121 1478/121 939/121,1 38/121 1043/121 18862290852309/995784115676 25109180307741/859465577719 8362722794336/186902374975 2868934470209/114003635762
6,11,2,1 1 1 2 2 6,0 7,6 4,11,-0.0909090909091 -0.0909090909091 -0.272727272727 0.272727272727 0.272727272727 -0.272727272727,0.00826446280992 0.00826446280992 0.0743801652893 0.0743801652893 0.0743801652893 0.0743801652893,1 0.314049586777 2.9173553719 3.47107438017 4.32231404959 12.2148760331 7.76033057851,1 0.314049586777 8.61983471074 18.9421487603 29.2148760331 44.7438016529 25.1652892562,1 38/121 353/121 420/121 523/121 1478/121 7760330577845/999999999914,1 38/121 1043/121 2292/121 9955516405264/340768736927 8216199785441/183627664211 2868934470209/114003635762
6,11,2,1 1 1 2 3 3,0 5,2 9,11,0.0909090909091 0.0909090909091 0.0909090909091 0.0909090909091 0.0909090909091 0.0909090909091,0.00826446280992 0.00826446280992 0.00826446280992 0.00826446280992 0.00826446280992 0.00826446280992,1 0.0495867768595 3.54545454545 2.01652892562 7.95867768595 6 11.4297520661,1 0.0495867768595 10.1404958678 12.3305785124 37.0165289256 35.7520661157 31.7107438017,1 6/121 39/11 244/121 4254831179683/534615340334 6 1383/121,1 6/121 1227/121 12330578511065/999999999892 7533786418637/203524928925 3599181679825/100670592524 14876301454210/469124961157
6,11,2,1 1 1 2 3 3,0 6,2 9,11,-0.0909090909091 -0.0909090909091 -0.0909090909091 -0.0909090909091 -0.0909090909091 -0.0909090909091,0.00826446280992 0.00826446280992 0.00826446280992 0.00826446280992 0.00826446280992 0.00826446280992,1 0.0495867768595 3.54545454545 2.01652892562 7.95867768595 6 11.4297520661,1 0.0495867768595 10.1404958678 12.3305785124 37.0165289256 35.7520661157 31.7107438017,1 6/121 39/11 244/121 3629272768225/456014543048 6 1383/121,1 6/121 1227/121 11968101033607/970603368007 17719773157915/478698939966 5505094079671/153979746565 16468230392525/519326525279
6,11,2,1 1 1 2 3 4,0 5,4 8,11,0.636363636364 0.454545454545 0.0909090909091 0.0909090909091 0.0909090909091 0.0909090909091,0.404958677686 0.206611570248 0.00826446280992 0.00826446280992 0.00826446280992 0.00826446280992,1 0.644628099174 2.33884297521 3.93388429752 5.67768595041 11.4214876033 6.98347107438,1 0.644628099174 8.25619834711 20 33.5123966942 43.3553719008 21.2314049587,1 78/121 283/121 476/121 687/121 3355806844751/293815215785 6983471074024/999999999949,1 78/121 999/121 20 26268838447966/783854365525 9256259326609/213497403454 16554319158075/779709076733
6,11,2,1 1 1 2 3 6,0 7,6 6,11,-0.0909090909091 0.0909090909091 0.272727272727 0.272727272727 0.272727272727 -0.272727272727,0.00826446280992 0.00826446280992 0.0743801652893 0.0743801652893 0.0743801652893 0.0743801652893,1 0.314049586777 2.8347107438 2.67768595041 7.92561983471 7.71900826446 9.52892561983,1 0.314049586777 8.98347107438 15.2396694215 37.479338843 37.867768595 27.1157024793,1 38/121 343/121 324/121 5075912761147/640443633054 7719008264293/999999999978 7399045839388/776482694333,1 38/121 1087/121 15239669420177/999999999914 28358860290744/756653163215 3247662792037/85763247018 3281/121
6,11,2,1 1 1 2 4 4,0 5,5 7,11,0.272727272727 0.272727272727 0.0909090909091 0.818181818182 0.0909090909091 0.0909090909091,0.0743801652893 0.0743801652893 0.00826446280992 0.669421487603 0.00826446280992 0.00826446280992,1 0.842975206612 2.17355371901 4 6.33884297521 11.1570247934 6.48760330579,1 0.842975206612 8.19008264463 21.0578512397 35.3636363636 42.0991735537 19.4462809917,1 102/121 263/121 4 6222234276710/981604103627 11157024792931/999999999959 6487603305331/999999999930,1 102/121 991/121 17484537425613/830309665816 35363636363495/999999999996 31020586116487/736845488829 18874625825789/970603368007
6,11,2,1 1 1 2 4 4,0 8,5 7,11,0.454545454545 0.454545454545 -0.0909090909091 -0.0909090909091 -0.454545454545 -0.454545454545,0.206611570248 0.206611570248 0.00826446280992 0.00826446280992 0.206611570248 0.206611570248,1 0.842975206612 1.46280991736 4 7.76033057851 11.1570247934 5.77685950413,1 0.842975206612 6.76859504132 21.0578512397 38.2066115702 42.0991735537 18.0247933884,1 102/121 177/121 4 939/121 11157024792931/999999999959 699/121,1 102/121 819/121 20969073774731/995784115676 33818255035447/885141436143 32084469031035/762116362928 2181/121
6,11,2,1 1 1 2 4 6,0 8,5 7,11,-0.272727272727 -0.0909090909091 0.0909090909091 0.0909090909091 0.454545454545 -0.454545454545,0.0743801652893 0.00826446280992 0.00826446280992 0.00826446280992 0.206611570248 0.206611570248,1 0.512396694215 1.80991735537 3.90082644628 6.5041322314 11.5867768595 6.68595041322,1 0.512396694215 7.03305785124 19.2727272727 34.8347107438 44.2148760331 21.132231405,1 62/121 219/121 472/121 787/121 11586776858751/999999999935 6685950412715/999999999924,1 62/121 851/121 212/11 4215/121 13197647085574/298488840627 21132231404050/999999999957
6,11,2,1 1 1 2 5 6,0 7,3 7,11,0.454545454545 0.454545454545 0.454545454545 0.454545454545 0.272727272727 -0.272727272727,0.206611570248 0.206611570248 0.206611570248 0.206611570248 0.0743801652893 0.0743801652893,1 0.97520661157 2.37190082645 3.70247933884 6.5041322314 11.3223140496 6.12396694215,1 0.97520661157 8.42148760331 22.4462809917 35.3636363636 40.5785123967 19.2148760331,1 118/121 287/121 448/121 787/121 3896024551521/344101438492 741/121,1 118/121 1019/121 20463373018664/911659843615 29276408005334/827867578557 11738782971932/289285690347 15343281655813/798510572195
6,11,2,1 1 1 2 5 6,0 8,3 8,11,0.0909090909091 0.0909090909091 0.0909090909091 0.0909090909091 0.454545454545 -0.454545454545,0.00826446280992 0.00826446280992 0.00826446280992 0.00826446280992 0.206611570248 0.206611570248,1 0.446280991736 2.90082644628 3.00826446281 7.06611570248 8.57851239669 9,1 0.446280991736 9.2479338843 16.694214876 36.0247933884 38.9256198347 25.6611570248,1 54/121 351/121 3008264462473/999999999888 5368244947049/759716536366 1038/121 9,1 54/121 1119/121 8381100612397/502036224802 34818017020675/966501504818 11134743838441/286051805616 13628252029831/531084861710
6,11,2,1 1 1 2 6 6,0 3,3 8,11,-0.0909090909091 -0.0909090909091 -0.0909090909091 -0.0909090909091 0.454545454545 0.454545454545,0.00826446280992 0.00826446280992 0.00826446280992 0.00826446280992 0.206611570248 0.206611570248,1 0.446280991736 2.60330578512 3.20661157025 7.06611570248 9.17355371901 8.5041322314,1 0.446280991736 8.65289256198 17.0909090909 36.0247933884 40.1157024793 24.6694214876,1 54/121 315/121 388/121 855/121 9173553718889/999999999987 1029/121,1 54/121 1047/121 188/11 35983243009813/998846617157 16654227759797/415154832908 2985/121
6,11,2,1 1 1 2 6 7,0 3,5 7,11,-0.0909090909091 0.454545454545 -0.0909090909091 -0.0909090909091 0.454545454545 0.454545454545,0.00826446280992 0.206611570248 0.00826446280992 0.00826446280992 0.206611570248 0.206611570248,1 0.644628099174 1.67768595041 3.90082644628 7.03305785124 11.4545454545 6.28925619835,1 0.644628099174 6.90082644628 20.0661157025 36.1570247934 43.2892561983 19.9421487603,1 78/121 203/121 472/121 851/121 126/11 761/121,1 78/121 6900826446281/1000000000000 14837415367847/739426383653 21933831274344/606627104959 42904374579309/991109072947 15506121154976/777555184315
6,11,2,1 1 1 2 6 8,0 4,6 6,11,-0.454545454545 0.0909090909091 0.0909090909091 -0.272727272727 0.272727272727 0.272727272727,0.206611570248 0.00826446280992 0.00826446280992 0.0743801652893 0.0743801652893 0.0743801652893,1 0.446280991736 2.45454545455 3.00826446281 7.95867768595 8.57851239669 8.55371900826,1 0.446280991736 8.35537190083 16.694214876 37.8099173554 38.9256198347 24.7685950413,1 54/121 27/11 364/121 5969803107679/750099871266 8255167784963/962307612698 7351627049084/859465577719,1 54/121 1011/121 9955516404759/596345289592 21370573510381/565210796668 38925619834049/999999999983 14524457735590/586406201537
6,11,2,1 1 1 2 6 9,0 4,6 4,11,0.0909090909091 0.272727272727 0.0909090909091 -0.272727272727 0.272727272727 0.272727272727,0.00826446280992 0.0743801652893 0.00826446280992 0.0743801652893 0.0743801652893 0.0743801652893,1 0.314049586777 2.9173553719 3.47107438017 4.32231404959 12.2148760331 7.76033057851,1 0.314049586777 8.61983471074 18.9421487603 29.2148760331 44.7438016529 25.1652892562,1 38/121 353/121 420/121 523/121 12214876033009/999999999996 7760330577845/999999999914,1 38/121 1043/121 5513692741645/291080637757 26050443138302/891684192287 35456814549267/792440812793 9139869944474/363193518319
6,11,2,1 1 1 2 7 7,0 3,7 5,11,0.636363636364 -0.0909090909091 0.272727272727 -0.0909090909091 0.454545454545 0.454545454545,0.404958677686 0.00826446280992 0.0743801652893 0.00826446280992 0.206611570248 0.206611570248,1 0.909090909091 1.46280991736 4 7.89256198347 11.0909090909 5.64462809917,1 0.909090909091 6.8347107438 21.4545454545 38.6033057851 41.6363636364 17.5619834711,1 10/11 177/121 4 955/121 122/11 683/121,1 10/11 827/121 236/11 36544387655316/946664719823 458/11 12675022790156/721730709463
6,11,2,1 1 1 2 7 7,0 5,7 5,11,-0.272727272727 -0.0909090909091 -0.272727272727 -0.818181818182 0.0909090909091 0.0909090909091,0.0743801652893 0.00826446280992 0.0743801652893 0.669421487603 0.00826446280992 0.00826446280992,1 0.842975206612 2.17355371901 4 6.33884297521 11.1570247934 6.48760330579,1 0.842975206612 8.19008264463 21.0578512397 35.3636363636 42.0991735537 19.4462809917,1 102/121 263/121 4 767/121 1350/121 6487603305331/999999999930,1 102/121 991/121 19561908209838/928960319227 35363636363495/999999999996 34447278766313/818241211371 18874625825789/970603368007
6,11,2,1 1 1 2 7 8,0 5,8 4,11,-0.0909090909091 -0.818181818182 -0.272727272727 -0.0909090909091 0.0909090909091 0.0909090909091,0.00826446280992 0.669421487603 0.0743801652893 0.00826446280992 0.00826446280992 0.00826446280992,1 0.776859504132 2.20661157025 3.93388429752 6.20661157025 11.2892561983 6.5867768595,1 0.776859504132 8.12396694215 20.7933884298 34.8347107438 42.4297520661 20.041322314,1 94/121 267/121 476/121 6206611569739/999999999918 7415736582221/656884426390 6586776859076/999999999935,1 94/121 983/121 7731596464485/371829559699 15143010648979/434710388737 39969589942769/942017994366 7967698773594/397563526435
6,11,2,1 1 1 2 7 9,0 5,8 2,11,-0.0909090909091 -0.0909090909091 -0.0909090909091 -0.0909090909091 0.0909090909091 0.0909090909091,0.00826446280992 0.00826446280992 0.00826446280992 0.00826446280992 0.00826446280992 0.00826446280992,1 0.0495867768595 3.99173553719 2.01652892562 7.06611570248 6 11.8760330579,1 0.0495867768595 11.0330578512 12.3305785124 35.2314049587 35.7520661157 32.6033057851,1 6/121 483/121 244/121 4456996645021/630756250348 6 11170613628001/940601425879,1 6/121 11033057850346/999999999919 1492/121 20321227233304/576792985041 26764127600977/748603661516 28500045765488/874145890399
6,11,2,1 1 1 2 8 8,0 5,9 2,11,-0.0909090909091 -0.0909090909091 -0.0909090909091 -0.0909090909091 0.0909090909091 0.0909090909091,0.00826446280992 0.00826446280992 0.00826446280992 0.00826446280992 0.00826446280992 0.00826446280992,1 0.0495867768595 3.90909090909 2.01652892562 7.23140495868 6 11.7933884298,1 0.0495867768595 10.867768595 12.3305785124 35.5619834711 35.7520661157 32.4380165289,1 6/121 43/11 244/121 6044423288656/835857391917 6 1427/121,1 6/121 10867768594411/999999999942 11968101033607/970603368007 26908087283588/756653163215 22905869447253/640686593416 5706556217044/175921860449
6,11,2,1 1 1 3 3 3,0 6,4 6,11,0.272727272727 0.272727272727 0.272727272727 -0.0909090909091 -0.0909090909091 -0.0909090909091,0.0743801652893 0.0743801652893 0.0743801652893 0.00826446280992 0.00826446280992 0.00826446280992,1 0.247933884298 3.54545454545 2.67768595041 6.37190082645 7.78512396694 10.3719008264,1 0.247933884298 10.3388429752 14.8429752066 34.2396694215 38.3305785124 29,1 30/121 39/11 324/121 6371900826236/999999999967 7785123966911/999999999996 8264488445927/796815220683,1 30/121 10338842974700/999999999951 10190063659837/686524333430 30198420356068/881971726547 37164356920603/969574641525 29
6,11,2,1 1 1 3 3 3,0 9,4 4,11,-0.0909090909091 -0.0909090909091 -0.0909090909091 -0.636363636364 -0.636363636364 -0.636363636364,0.00826446280992 0.00826446280992 0.00826446280992 0.404958677686 0.404958677686 0.404958677686,1 1.23966942149 2.55371900826 3.60330578512 6.76859504132 11.1570247934 5.67768595041,1 1.23966942149 8.95041322314 24.2314049587 36.2231404959 38.5289256198 17.826446281,1 150/121 309/121 436/121 6382546504513/942964746088 11157024792719/999999999940 687/121,1 150/121 1083/121 24231404958605/999999999997 35158302165080/970603368007 30914847324271/802380207258 2769149311087/155339391118
6,11,2,1 1 1 3 3 5,0 7,4 6,11,-0.0909090909091 -0.0909090909091 -0.0909090909091 0.272727272727 0.272727272727 -0.272727272727,0.00826446280992 0.00826446280992 0.00826446280992 0.0743801652893 0.0743801652893 0.0743801652893,1 0.247933884298 3.42975206612 2.67768595041 6.60330578512 7.78512396694 10.2561983471,1 0.247933884298 10.1074380165 14.8429752066 34.7024793388 38.3305785124 28.7685950413,1 30/121 415/121 324/121 799/121 7785123966911/999999999996 10256198346810/999999999971,1 30/121 1223/121 12949790315744/872452465593 3042953135089/87686908632 37871251266513/988016688928 8376868571633/291181010390
6,11,2,1 1 1 3 3 5,0 9,4 7,11,0.0909090909091 0.0909090909091 0.0909090909091 0.0909090909091 -0.454545454545 -0.636363636364,0.00826446280992 0.00826446280992 0.00826446280992 0.00826446280992 0.206611570248 0.404958677686,1 0.644628099174 1.59504132231 3.86776859504 7.23140495868 11.4876033058 6.17355371901,1 0.644628099174 6.70247933884 20.132231405 36.4876033058 43.2231404959 19.8099173554,1 78/121 193/121 468/121 875/121 1390/121 6173553718928/999999999987,1 78/121 811/121 5276275014553/262080983892 34234490967077/938249922314 5165397310037/119505367976 17034611078610/859903187531
6,11,2,1 1 1 3 3 6,0 9,7 4,11,-0.0909090909091 -0.0909090909091 -0.0909090909091 -0.272727272727 0.636363636364 -0.636363636364,0.00826446280992 0.00826446280992 0.00826446280992 0.0743801652893 0.404958677686 0.404958677686,1 0.909090909091 1.79338842975 3.86776859504 7.36363636364 11.2231404959 5.84297520661,1 0.909090909091 7.36363636364 21.7190082645 37.2809917355 41.3719008264 18.3553719008,1 10/11 217/121 468/121 81/11 6362604651729/566918382076 707/121,1 10/11 81/11 15817224696062/728266433875 31324376956465/840223811069 32821744142423/793334207198 17107873768913/932036346708
6,11,2,1 1 1 3 4 4,0 5,3 9,11,0.272727272727 0.272727272727 0.272727272727 0.818181818182 0.0909090909091 0.0909090909091,0.0743801652893 0.0743801652893 0.0743801652893 0.669421487603 0.00826446280992 0.00826446280992,1 0.909090909091 2.10743801653 4 6.60330578512 11.0909090909 6.28925619835,1 0.909090909091 8.12396694215 21.4545454545 36.0247933884 41.6363636364 18.8512396694,1 10/11 255/121 4 6603305784774/999999999947 122/11 761/121,1 10/11 983/121 236/11 28861701746574/801162172823 458/11 2281/121
